ALMEMO;BEREICH:;;L840;L840;D2.6;D2.6
5690-2;KOMMENTAR:;;;;;
SD3.12;GW-MAX:;;;;;
BLAS180E.001;GW-MIN:;;;;;
DATUM:;ZEIT:;;M01: ms;M02: ms;M11: Pa;M12: Pa
;14:43:15;;13,2;8,3;99,8;65
;14:43:16;;12,7;10,3;96,9;37,4
;14:43:17;;12,4;11,1;98,3;79,1
;14:43:18;;12,3;12,1;94,7;58,8
;14:43:19;;13;9,2;97,2;51,3
;14:43:20;;12,5;11,1;96,7;57,8
;14:43:21;;13,2;10,3;100,9;62
;14:43:22;;12,8;6,5;89,8;49,1
;14:43:23;;12,5;11;90,1;54,3
;14:43:24;;12,7;9,4;103,9;35,9
;14:43:25;;12,9;7,9;93,4;34,2
;14:43:26;;13,3;9,1;104;58
;14:43:27;;12,6;9,4;96,7;63,9
;14:43:28;;12,5;11,7;92,3;47,8
;14:43:29;;13,2;9,6;92,8;57,8
;14:43:30;;12,7;9,6;95,8;47,8
;14:43:31;;12,7;8,4;101;50
;14:43:32;;13;10,4;91,7;58,5
;14:43:33;;13,2;8,6;95,6;66,3
;14:43:34;;12,4;9,2;93,6;64,6
;14:43:35;;12,6;9,2;101,7;45,9
;14:43:36;;12,7;8,5;94,5;55,1
;14:43:37;;12,3;8,2;103,6;30,8
;14:43:38;;12,8;8;90;37,3
;14:43:39;;12,8;11;98,9;37,8
;14:43:40;;12,7;9,6;93,8;52,8
;14:43:41;;12,5;9,9;104,4;54,2
;14:43:42;;12,7;8,8;93,2;56
;14:43:43;;12,8;10,4;98,5;47,3
;14:43:44;;12,5;10,2;94,2;42,7
;14:43:45;;13;9,7;91,4;57,4
;14:43:46;;12,7;9,4;102,7;51,8
;14:43:47;;12,7;11,2;90;78,9
;14:43:48;;12,7;10,6;98,1;66,6
;14:43:49;;12,8;9,2;102;56,3
;14:43:50;;12,5;8,9;99,9;54,5
;14:43:51;;12,7;9,9;85,2;52,1
;14:43:52;;12,9;8,4;88,6;67
;14:43:53;;13,1;10,3;98,5;45,8
;14:43:54;;12,8;8,7;97,5;40,2
;14:43:55;;12,7;10,5;104,1;40,3
;14:43:56;;12,7;5,6;94,5;25,6
;14:43:57;;12,6;9,6;98,6;45,4
;14:43:58;;13;9,6;101,9;78,1
;14:43:59;;13,2;9,8;97;32,6
;14:44:00;;12,2;10,1;97,2;53,8
;14:44:01;;12,7;7,6;96,6;50,9
;14:44:02;;12,9;7,5;97,3;67
;14:44:03;;12,5;10,6;98;47,2
;14:44:04;;12,9;8;96,6;39,3
;14:44:05;;12,8;8;95,9;64
;14:44:06;;12,9;9,6;95;26,6
;14:44:07;;13;11,5;94,5;68,7
;14:44:08;;12,9;11,3;94,5;39,2
;14:44:09;;12,9;9,3;92,6;32,9
;14:44:10;;13,3;11,5;100;40,4
;14:44:11;;13,3;10;106,2;28,5
;14:44:12;;12,8;9,3;98,8;54,2
;14:44:13;;12,8;7;98;59,5
;14:44:14;;12,8;9,9;91,5;86,6
;14:44:15;;13,1;9,6;99,5;51,1
;14:44:16;;12,7;10,2;99,2;44,8
;14:44:17;;12,4;9,3;96,7;65,3
;14:44:18;;12,9;10,7;93,9;40,1
;14:44:19;;12,7;8,6;96,2;58,1
;14:44:20;;12,9;8,4;98,5;55,2
;14:44:21;;12,7;9,9;93,1;44,9
;14:44:22;;12,7;9,7;98,5;34,1
;14:44:23;;12,8;7,1;96,5;60,8
;14:44:24;;12,9;9,7;91,3;61,5
;14:44:25;;12,9;9;89;38,6
;14:44:26;;13,2;9,9;93,4;53,2
;14:44:27;;13;10;98,8;25,8
;14:44:28;;12,8;8;99,1;55,3
;14:44:29;;12,8;9,6;85,7;72,7
;14:44:30;;12,5;10,4;99,2;28,5
;14:44:31;;13;7,8;89,4;57,7
;14:44:32;;12,6;9,4;97,6;54,5
